date,BTC-USD,fng_value,confidence
2021-12-18,46848.77734375,24,0.6329
2021-12-19,46707.015625,29,0.644
2021-12-20,46880.27734375,25,0.6367
2021-12-21,48936.61328125,27,0.6476
2021-12-22,48628.51171875,45,0.6513
2021-12-23,50784.5390625,34,0.6541
2021-12-24,50822.1953125,41,0.6563
2021-12-25,50429.859375,39,0.6566
2021-12-26,50809.515625,37,0.6509
2021-12-27,50640.41796875,40,0.6576
2021-12-28,47588.85546875,41,0.6495
2021-12-29,46444.7109375,27,0.6356
2021-12-30,47178.125,22,0.6172
2021-12-31,46306.4453125,28,0.6291
2022-01-01,47686.8125,21,0.6354
2022-01-02,47345.21875,29,0.6329
2022-01-03,46458.1171875,29,0.6231
2022-01-04,45897.57421875,23,0.6149
2022-01-05,43569.00390625,24,0.6066
2022-01-06,43160.9296875,15,0.5906
2022-01-07,41557.90234375,18,0.5773
2022-01-08,41733.94140625,10,0.5696
2022-01-09,41911.6015625,23,0.5659
2022-01-10,41821.26171875,23,0.5651
2022-01-11,42735.85546875,21,0.5699
2022-01-12,43949.1015625,22,0.5625
2022-01-13,42591.5703125,21,0.582
2022-01-14,43099.69921875,21,0.5626
2022-01-15,43177.3984375,23,0.5642
2022-01-16,43113.87890625,21,0.5671
2022-01-17,42250.55078125,22,0.5599
2022-01-18,42375.6328125,24,0.5482
2022-01-19,41744.328125,24,0.5607
2022-01-20,40680.41796875,24,0.5552
2022-01-21,36457.31640625,19,0.5301
2022-01-22,35030.25,13,0.5046
2022-01-23,36276.8046875,11,0.4944
2022-01-24,36654.328125,13,0.5017
2022-01-25,36954.00390625,12,0.5073
2022-01-26,36852.12109375,23,0.4992
2022-01-27,37138.234375,20,0.4964
2022-01-28,37784.33203125,24,0.5006
2022-01-29,38138.1796875,24,0.4983
2022-01-30,37917.6015625,29,0.5033
2022-01-31,38483.125,20,0.5036
2022-02-01,38743.2734375,26,0.5105
2022-02-02,36952.984375,28,0.5133
2022-02-03,37154.6015625,20,0.4997
2022-02-04,41500.875,20,0.4974
2022-02-05,41441.1640625,33,0.5159
2022-02-06,42412.43359375,37,0.5353
2022-02-07,43840.28515625,45,0.5322
2022-02-08,44118.4453125,48,0.5482
2022-02-09,44338.796875,54,0.5359
2022-02-10,43565.11328125,50,0.5395
